ID,BuildingTypeName,PropertyTypeEPA,BuildingName,Address,City,State,Zip,Neighborhood,Latitude,Longitude,YearBuilt,GrossFloorAreaQuantity,NumBuildings,NumFloors,NumUnits,ES_Score,SiteEUI,SourceEUI,TotalGHGEmissionsReg,GHGEmissionsIntensity
1,NonResidential,Hotel,MAYFLOWER PARK HOTEL,405 OLIVE WAY,SEATTLE,WA,98101,DOWNTOWN,47.61219025,-122.33799744,1/1/1927,88434,1,12,0,65,78.9000015259,173.5,529.799987793,0.0059909083
2,NonResidential,Hotel,PARAMOUNT HOTEL,724 PINE ST,SEATTLE,WA,98101,DOWNTOWN,47.61310583,-122.33335756,1/1/1996,88502,1,11,0,51,94.4000015259,191.3000030518,583.700012207,0.0065953313
3,NonResidential,Hotel,WESTIN HOTEL,1900 5TH AVE,SEATTLE,WA,98101,DOWNTOWN,47.61334897,-122.33769944,1/1/1969,757243,1,41,0,18,96.5999984741,242.6999969482,5929.3999023438,0.0078302472
5,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,SEATTLE,WA,98101,DOWNTOWN,47.61421585,-122.33660889,1/1/1926,61320,1,10,0,1,460.3999938965,636.299987793,1910.3000488281,0.0311529688
8,NonResidential,Hotel,WARWICK SEATTLE HOTEL,401 LENORA ST,SEATTLE,WA,98121,DOWNTOWN,47.6137544,-122.3409238,1/1/1980,123445,1,18,0,67,120.0999984741,228.8000030518,1005.0999755859,0.0081420874
9,Nonresidential COS,Police Station,WEST PRECINCT (SEATTLE POLICE),810 VIRGINIA ST,SEATTLE,WA,98101,DOWNTOWN,47.6164389,-122.33676431,1/1/1999,88830,1,2,0,,135.6999969482,313.5,900.799987793,0.0101407181
10,NonResidential,Hotel,CAMLIN WORLDMARK HOTEL,1619 9TH AVE,SEATTLE,WA,98101,DOWNTOWN,47.6141141,-122.33274086,1/1/1926,81352,1,11,0,25,76.9000015259,149.5,428.200012207,0.0052635462
11,NonResidential,Other - Entertainment/Public Assembly,PARAMOUNT THEATER,901 PINE ST,SEATTLE,WA,98101,DOWNTOWN,47.61290234,-122.33130949,1/1/1926,102761,1,8,0,,62.5,152.1999969482,515.200012207,0.0050135753
12,NonResidential,Hotel,COURTYARD BY MARRIOTT - ALASKA BLDG SEATTLE,612 2ND AVE,SEATTLE,WA,98104,DOWNTOWN,47.60258934,-122.33255325,1/1/1904,163984,1,15,0,46,77,174.6000061035,934.700012207,0.0056999464
13,Multifamily MR (5-9),Multifamily Housing,LYON BUILDING,607 3RD AVE,SEATTLE,WA,98104,DOWNTOWN,47.60278416,-122.33214887,1/1/1910,56132,1,6,64,2,81.6999969482,178.1000061035,348.299987793,0.0062050165
15,NonResidential,Hotel,HOTEL MONACO,1101 4TH AVE,SEATTLE,WA,98101,DOWNTOWN,47.60712147,-122.33431932,1/1/1969,145660,1,11,0,48,101.0999984741,200.8000030518,1057.1999511719,0.0072579977
16,NonResidential,Hotel,W SEATTLE HOTEL,1112 4TH AVE,SEATTLE,WA,98101,DOWNTOWN,47.60718204,-122.33347215,1/1/1998,336640,1,25,0,32,82.3000030518,207.1999969482,2227.5,0.0066168607
17,NonResidential,Hotel,EXECUTIVE PACIFIC PLAZA,400 SPRING ST,SEATTLE,WA,98104,DOWNTOWN,47.60709939,-122.33310536,1/1/1928,65009,1,9,0,39,104.6999969482,166.5,445.8999938965,0.0068590502
18,NonResidential,Hotel,CROWNE PLAZA,1113 6TH AVE,SEATTLE,WA,98101,DOWNTOWN,47.60809326,-122.33211517,1/1/1980,295511,1,33,0,56,77.1999969482,183.1999969482,1779.5999755859,0.0060221108
19,NonResidential,Hotel,HOTEL VINTAGE PARK,1100 5TH AVE,SEATTLE,WA,98101,DOWNTOWN,47.60761642,-122.3323288,1/1/1922,64490,1,11,0,14,166.1000061035,317.3999938965,774,0.0120018608
21,Nonresidential COS,Library,SEATTLE CENTRAL LIBRARY,1000 4TH AVE,SEATTLE,WA,98104,DOWNTOWN,47.60667501,-122.33226425,1/1/2004,365987,1,11,0,,46,140.8000030518,1483.0999755859,0.0040523297
22,NonResidential,Fitness Center/Health Club/Gym,DOWNTOWN SEATTLE YMCA,909 4TH AVE,SEATTLE,WA,98104,DOWNTOWN,47.60544586,-122.33280182,1/1/1930,130000,1,6,0,,79.5,173.6999969482,797.200012207,0.0061323078
23,NonResidential,Hotel,RENAISSANCE MADISON HOTEL,515 MADISON ST,SEATTLE,WA,98104,DOWNTOWN,47.60656003,-122.33063632,1/1/1983,348329,1,28,0,30,95.5,231.8999938965,2553.3999023438,0.0073304258
24,NonResidential,Mixed Use Property,RAINIER CLUB (HISTORICAL LANDMARK),810 4TH AVE,SEATTLE,WA,98104,DOWNTOWN,47.60552597,-122.33163032,1/1/1907,57452,1,5,0,,130.1999969482,278.700012207,556,0.0096776439
25,NonResidential,Hotel,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,700 3RD AVE,SEATTLE,WA,98104,DOWNTOWN,47.60397899,-122.3320576,1/1/1916,104352,1,10,0,83,75.1999969482,119.5,523.5,0.0050166743
26,NonResidential,Courthouse,KING COUNTY COURTHOUSE,516 3RD AVE,SEATTLE,WA,98104,DOWNTOWN,47.60264587,-122.33052826,1/1/1916,537150,1,10,0,67,99.3000030518,208.5,3792.8000488281,0.00706097
27,NonResidential,Other,KING COUNTY CORRECTIONAL FACILITY,500 5TH AVE,SEATTLE,WA,98104,DOWNTOWN,47.60355377,-122.32830048,1/1/1985,385274,1,19,0,,132.1000061035,245.5,3408.8999023438,0.0088479885
28,SPS-District K-12,K-12 School,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),5101 S GRAHAM ST,SEATTLE,WA,98118,SOUTHEAST,47.54570136,-122.2685843,1/1/1961,56228,1,2,0,96,25.7000007629,59.7000007629,111.6999969482,0.0019865547
29,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,SEATTLE,WA,98105,NORTHEAST,47.65953281,-122.3173925,1/1/2001,58006,1,6,0,85,66.9000015259,151.5,287,0.004947764
30,NonResidential,College/University,Cornish (Main Campus Center),1000 LENORA ST,SEATTLE,WA,98121,DOWNTOWN,47.61839333,-122.3369292,1/1/1928,125000,1,7,0,,78.3000030518,158.8999938965,684.4000244141,0.0054752002
31,NonResidential,Automobile Dealership,SEATTLE HONDA,1017 OLIVE WAY,SEATTLE,WA,98101,DOWNTOWN,47.61490582,-122.33040102,1/1/1930,67224,1,2,0,,20.7000007629,64.9000015259,123.5,0.0018371415
32,NonResidential,Hotel,HOMEWOOD SUITES -SEATTLE - Hilton,1011 PIKE ST,SEATTLE,WA,98101,EAST,47.61300278,-122.32923126,1/1/1991,117176,1,8,0,,44,55.7000007629,293.1000061035,0.0025013655
33,NonResidential,Hotel,SPRINGHILL SUITES SEATTLE DOWNTOWN,1800 YALE AVE,SEATTLE,WA,98101,DOWNTOWN,47.61806905,-122.33005445,1/1/2001,128909,1,10,0,20,85.5,183.3000030518,792.299987793,0.0061461961
34,SPS-District K-12,K-12 School,MEANY MIDDLE SCHOOL (SPS-DISTRICT),300 20TH AVE E,SEATTLE,WA,98112,SHARED: CENTRAL & EAST,47.62309371,-122.3053887,1/1/1963,126351,1,1,0,,,,,
35,NonResidential,Hotel,Hotel Five,2200 5TH AVE,SEATTLE,WA,98121,DOWNTOWN,47.61587049,-122.34197968,1/1/1978,68410,1,5,0,82,63.5,136.1999969482,312.200012207,0.0045636605
36,SPS-District K-12,K-12 School,JANE ADAMS JUNIOR HIGH (SPS-DISTRICT),11031 34TH AVE NE,SEATTLE,WA,98125,NORTH,47.71011498,-122.29379175,1/1/1950,160645,1,2,0,82,37.5999984741,61.2999992371,389.700012207,0.0024258459
37,SPS-District K-12,K-12 School,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),201 GARFIELD ST,SEATTLE,WA,98109,MAGNOLIA / QUEEN ANNE,47.63303191,-122.35245717,1/1/1989,51582,1,2,0,95,26,81.5,127.4000015259,0.0024698539
38,NonResidential,Office,HOUSE OF GOOD SHEPHERD,4649 SUNNYSIDE AVE N,SEATTLE,WA,98103,LAKE UNION,47.66391557,-122.33172174,1/1/1906,67428,1,3,0,,59.2000007629,104.0999984741,260.3999938965,0.003861897
40,NonResidential,Hotel,SILVER CLOUD INN UNIVERSITY,5036 25TH AVE NE,SEATTLE,WA,98105,NORTHEAST,47.66585193,-122.29889419,1/1/1994,81871,1,4,0,20,90.5999984741,178.5,511.200012207,0.0062439693
41,NonResidential,Supermarket/Grocery Store,QFC / SHURGARD MINI STORAGE / LIQUOR STORE,2746 NE 45TH ST,SEATTLE,WA,98105,NORTHEAST,47.66270326,-122.29612323,1/1/1955,73487,1,2,0,77,192.1999969482,467.299987793,1084.6999511719,0.0147604332
46,NonResidential,Distribution Center,SEATTLE WAREHOUSE OFFICE BUILDING,3301 S NORFOLK ST,SEATTLE,WA,98118,GREATER DUWAMISH,47.5106034,-122.29027588,1/1/1961,715387,7,2,0,1,66.9000015259,210,4256.3999023438,0.0059497865
50,SPS-District K-12,K-12 School,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),4017 26TH AVE W,SEATTLE,WA,98199,MAGNOLIA / QUEEN ANNE,47.65726207,-122.39065097,1/1/1989,54986,1,2,0,98,28.8999996185,75.1999969482,126.5999984741,0.0023024042
51,SPS-District K-12,K-12 School,NATHAN ECKSTEIN MIDDLE (SPS-DISTRICT),3003 NE 75TH ST,SEATTLE,WA,98115,NORTHEAST,47.68245037,-122.2939354,1/1/1950,175565,1,2,0,87,35.2000007629,55.2999992371,399.6000061035,0.0022760801
52,NonResidential,Office,STIMSON INDUSTRIAL PARK,5305 SHILSHOLE AVE NW,SEATTLE,WA,98107,BALLARD,47.66580963,-122.3860321,1/1/1961,94900,1,2,0,57,63.7000007629,161.3000030518,474.799987793,0.0050031611
53,NonResidential,Office,EL CENTRO DE LA RAZA,2524 16TH AVE S,SEATTLE,WA,98144,GREATER DUWAMISH,47.58002948,-122.31181286,1/1/1900,58878,1,2,0,93,36.2999992371,81.5999984741,157.5,0.0026750229
54,NonResidential,K-12 School,BLANCHET HIGH SCHOOL,8200 WALLINGFORD AVE N,SEATTLE,WA,98103,NORTHWEST,47.68894837,-122.33616192,1/1/1954,175015,1,3,0,95,40.5,74.5999984741,472.6000061035,0.00270034
55,NonResidential,Self-Storage Facility,MINI STG (OLD SKYWAY LUGGAGE CO),11 VINE ST,SEATTLE,WA,98121,DOWNTOWN,47.61311034,-122.35096928,1/1/1911,70495,1,3,0,,30.5,79.5999984741,171.6999969482,0.0024356337
56,NonResidential,Hotel,HILTON SEATTLE,1301 6TH AVE,SEATTLE,WA,98101,DOWNTOWN,47.60950466,-122.3334029,1/1/1969,348630,1,24,0,68,44.9000015259,121,178.1000061035,0.0005108568
57,NonResidential,Office,5th and Pine,1513 5TH AVE,SEATTLE,WA,98101,DOWNTOWN,47.61103976,-122.3363484,1/1/1973,169531,1,5,0,79,54.2999992371,170.6999969482,819.700012207,0.004835104
58,NonResidential,Retail Store,CENTURY SQUARE RETAIL,1525 4TH AVE,SEATTLE,WA,98101,DOWNTOWN,47.61076355,-122.337677,1/1/1920,57428,1,2,0,,,,,
59,NonResidential,Office,GIBRALTAR TOWER,1518 3RD AVE,SEATTLE,WA,98101,DOWNTOWN,47.610466,-122.33795929,1/1/1910,39940,1,8,0,,98,307.8999938965,348.3999938965,0.0087230845
60,NonResidential,Mixed Use Property,MANN BUILDING/WILD GINGER/TRIPLE DOOR,1401 3RD AVE,SEATTLE,WA,98101,DOWNTOWN,47.60883331,-122.3374176,1/1/1926,52459,1,2,0,,297.1000061035,522.799987793,1017.5,0.0193960998
61,Multifamily LR (1-4),Multifamily Housing,GATEWOOD APTS,107 PINE ST,SEATTLE,WA,98101,DOWNTOWN,47.60973588,-122.3403842,1/1/1900,48383,1,4,96,75,61,129.6000061035,221,0.0045677201
62,NonResidential,Hotel,ROOSEVELT HOTEL,1531 7TH AVE,SEATTLE,WA,98101,DOWNTOWN,47.61229324,-122.33441925,1/1/1930,88591,1,20,0,46,69.6999969482,201.1000061035,522.4000244141,0.0058967618
63,NonResidential,Hotel,SHERATON HOTEL,1400 6TH AVE,SEATTLE,WA,98101,DOWNTOWN,47.61101988,-122.3335344,1/1/1982,994212,1,34,0,60,85.9000015259,187.3000030518,6364,0.0064010493
65,NonResidential,Hotel,INN AT THE MARKET,86 PINE ST,SEATTLE,WA,98101,DOWNTOWN,47.60989093,-122.3414255,1/1/1985,57420,1,7,0,99,87.8000030518,203.3000030518,377.200012207,0.0065691399
66,NonResidential,Mixed Use Property,MOORE HOTEL & THEATRE,1926 2ND AVE,SEATTLE,WA,98101,DOWNTOWN,47.61155254,-122.3408486,1/1/1908,122810,1,7,0,,41.4000015259,65.6999969482,317,0.002581223
67,NonResidential,Hotel,QUALITY INN & SUITES - SEATTLE,618 JOHN ST,SEATTLE,WA,98109,LAKE UNION,47.62037281,-122.3441465,1/1/1959,70627,1,5,0,86,70.5999984741,166.6000061035,377,0.0053379019
68,NonResidential,Hotel,HOLIDAY INN - SEATTLE,211 DEXTER AVE N,SEATTLE,WA,98109,LAKE UNION,47.6203118,-122.3428044,1/1/2000,150453,1,7,0,83,60.7999992371,131.6999969482,485.700012207,0.0032282508
69,NonResidential,Hotel,HOLIDAY INN EXPRESS - DOWNTOWN SEATTLE,226 AURORA AVE N,SEATTLE,WA,98109,LAKE UNION,47.62021696,-122.3432115,1/1/1997,116300,1,6,0,84,68,147.8000030518,435.5,0.003744626
70,NonResidential,Hotel,HOMEWOOD SUITES HOTEL - SEATTLE,206 WESTERN AVE W,SEATTLE,WA,98119,MAGNOLIA / QUEEN ANNE,47.62050588,-122.3596901,1/1/1998,155602,1,6,0,81,44.4000015259,108,531,0.0034125525
